bucket,k6_reqs,k6_fail_pct,k6_p50_ms,k6_p90_ms,k6_p95_ms,k6_p99_ms,k6_max_ms,k6_rps,CPU_Consumption_by_Service_Total_mcore__compose-post,CPU_Consumption_by_Service_Total_mcore__text-service,CPU_Consumption_by_Service_Total_mcore__user-mention-service,Replicas_per_Service__compose-post,Replicas_per_Service__text-service,Replicas_per_Service__user-mention-service,Combined_CPU_Utilization_Child__Parent__text-service__compose-post,Combined_CPU_Utilization_Child__Parent__user-mention__text-service,Combined_CPU_Utilization_Child__Parent__HPA_self-CPU_threshold_50,CPU_Utilization_per_Service__compose-post-service,CPU_Utilization_per_Service__text-service,CPU_Utilization_per_Service__user-mention-service,CPU_Utilization_per_Service__HPA_threshold_compose-post,Memory_Usage_per_Service_MB__compose-post,Memory_Usage_per_Service_MB__text-service,Memory_Usage_per_Service_MB__user-mention-service,Memory_Usage_Percentage_per_Service___compose-post,Memory_Usage_Percentage_per_Service___text-service,Memory_Usage_Percentage_per_Service___user-mention-service
18,302.4,5.66802459646623,587.95339055,2307.40374565,2618.7127313162496,3514.833606550251,4560.6069787,30.24,35.520241171724074,17.219114985076196,11.501426814486196,2.0,1.45,1.0,52.31742509390595,40.34298013287878,50.0,60.27494149041369,43.64330403213126,38.48507948928521,50.0,11.24794921875,3.46201171875,2.46826171875,4.393730163574219,1.968841552734375,1.9283294677734375
19,298.85,5.339790517761676,540.343197925,2065.9786608525,2403.7261410825,3303.672530626,4578.9298178,29.885,38.71893168763455,18.81076676808423,12.752751188861492,2.0,1.675,1.0,51.73420402239371,39.39014101487294,50.0,63.27735411315733,39.75688199369223,41.61557713973542,50.0,11.3990234375,3.9291015625,2.52548828125,4.4527435302734375,1.855926513671875,1.9730377197265625
20,301.275,4.887802744460362,568.1411102375,2115.6499389325004,2404.2405136499997,3316.310478621501,4326.299629125,30.127499999999998,41.71746525403209,20.454483775262926,13.8315667710329,2.05,1.9,1.025,50.602525288173354,38.043762476561184,50.0,65.04983996604912,36.042566442042606,43.15030631730739,50.0,11.72470703125,4.4291015625,2.56875,4.500064849853516,1.82464599609375,1.9816970825195312
21,301.575,4.868306463923576,531.6280634125,1957.0209911450002,2279.58151728625,2929.7995701607506,4513.36599055,30.1575,45.347749687840846,22.476770519356318,15.022532551870967,2.175,1.925,1.075,52.12253242157605,39.57834982839181,50.0,66.2753930679348,37.91446066189247,44.19335160820783,50.0,12.29990234375,4.2890625,2.86650390625,4.451872507731119,1.7739105224609375,2.079925537109375
22,301.775,5.735262409320979,557.3410795,1816.5671039725003,2048.8873640312495,2961.8800122437506,4344.3610147,30.1775,48.517390712560086,24.28124440714535,16.103085165518188,2.475,1.925,1.125,50.9241919422559,40.788718590827344,50.0,62.378862640609896,39.46108475044025,45.08341523997473,50.0,12.6244140625,4.07216796875,2.81162109375,4.126574198404947,1.68487548828125,1.9713973999023438
23,299.0,5.548060802326495,523.2166056,1751.5131927225,2139.5767864375,3247.191267297,3923.1913183750003,29.9,52.0224131262636,26.02334649940949,17.291272894779272,2.725,1.95,1.225,50.40434469286217,40.96327384733675,50.0,60.485925846546834,40.27457039494692,44.120648445742866,50.0,12.805859375,4.13798828125,2.95771484375,3.8568941752115884,1.6607666015625,1.9350051879882812
24,298.85,5.761922804841633,552.4869887875,1886.4992397225,2048.70616599375,2834.999437587997,3518.1198200500003,29.885,55.34180747956562,27.634092475275366,18.513627009688044,2.975,1.95,1.3,49.44719915132059,41.345898587771515,50.0,57.709876974267786,41.1334370393628,43.968645570447954,50.0,13.09814453125,4.1431640625,3.21376953125,3.7832768758138022,1.6615676879882812,1.9924163818359375
25,303.5,6.456151711515038,661.2565613,1897.2183693225002,2235.01320193875,2565.8035033549995,3177.859780275,30.35,58.72486325552535,29.322260909856936,19.53152781906476,3.375,1.95,1.5,46.57130194568656,39.745396681415045,50.0,51.04291708200248,41.99837594038857,38.712164266403995,50.0,13.95009765625,4.22421875,3.59267578125,3.4413846333821616,1.7177200317382812,1.91558837890625
26,306.1,2.633620935619095,395.5991240625,1575.3912314175002,1862.1866056649997,2435.9790315919986,2954.378984175,30.610000000000003,61.867138721180595,31.036953773963752,20.878622677191267,3.9,2.0,1.625,40.66755137973853,37.58676543482473,50.0,40.96525301595564,40.31617512991424,35.608007368366806,50.0,15.0189453125,4.42138671875,3.85888671875,3.0084864298502607,1.7271041870117188,1.8904495239257812
27,301.925,0.9690504741803041,315.8630973375,1271.2396416675,1526.76462933625,1898.4139259537485,2832.553716175,30.192500000000003,65.55761894081999,32.67777435757676,22.01443068621871,3.925,2.0,1.625,40.81822417336021,37.85862444486486,50.0,41.051539151327304,40.52356741173716,36.03791234410781,50.0,14.7646484375,4.49384765625,3.92373046875,2.9372406005859375,1.7554092407226562,1.9235992431640625
