ts,time_iso,CPU_Consumption_by_Service_Total_mcore__compose-post,CPU_Consumption_by_Service_Total_mcore__text-service,CPU_Consumption_by_Service_Total_mcore__user-mention-service,Replicas_per_Service__compose-post,Replicas_per_Service__text-service,Replicas_per_Service__user-mention-service,Combined_CPU_Utilization_Child__Parent__text-service__compose-post,Combined_CPU_Utilization_Child__Parent__user-mention__text-service,Combined_CPU_Utilization_Child__Parent__HPA_self-CPU_threshold_50,CPU_Utilization_per_Service__compose-post-service,CPU_Utilization_per_Service__text-service,CPU_Utilization_per_Service__user-mention-service,CPU_Utilization_per_Service__HPA_threshold_compose-post,Memory_Usage_per_Service_MB__compose-post,Memory_Usage_per_Service_MB__text-service,Memory_Usage_per_Service_MB__user-mention-service,Memory_Usage_Percentage_per_Service___compose-post,Memory_Usage_Percentage_per_Service___text-service,Memory_Usage_Percentage_per_Service___user-mention-service
1773058345,2026-03-09T12:12:25Z,0.05186347054376697,0.04668181690675322,0.13461162756324524,1.0,1.0,1.0,0.00615181493730989,0.005887891396476085,50.0,0.005952058871273313,0.006351571003346466,0.005424211789605706,50.0,0.9921875,0.98828125,1.640625,0.775146484375,0.7720947265625,1.28173828125
1773058360,2026-03-09T12:12:40Z,0.05174654514631827,0.04671454641145575,0.13558564776222176,1.0,1.0,1.0,0.0063208544086351135,0.0058488801134374616,50.0,0.006235308055394224,0.006406400761876005,0.005291359464998915,50.0,0.9921875,0.98828125,1.640625,0.775146484375,0.7720947265625,1.28173828125
1773058375,2026-03-09T12:12:55Z,0.05066446715959909,0.046742904973620075,0.13280223598484248,1.0,1.0,1.0,0.005890822184389266,0.005874989128335395,50.0,0.005862733448387705,0.005918910920390827,0.005831067336279963,50.0,0.9921875,0.98828125,1.640625,0.775146484375,0.7720947265625,1.28173828125
1773058390,2026-03-09T12:13:10Z,0.05109516609758651,0.04674046004434996,0.13334163686232275,1.0,1.0,1.0,0.0066819151580794845,0.006165787114643942,50.0,0.006676567527780932,0.006687262788378035,0.0056443114409098485,50.0,0.9921875,0.98828125,1.640625,0.775146484375,0.7720947265625,1.28173828125
1773058405,2026-03-09T12:13:25Z,0.0508018988790055,0.046816867148173014,0.13345525509022826,1.0,1.0,1.0,0.006121181393118357,0.005776264802494897,50.0,0.006041419590140184,0.00620094319609653,0.005351586408893262,50.0,0.9921875,0.98828125,1.640625,0.775146484375,0.7720947265625,1.28173828125
1773058420,2026-03-09T12:13:40Z,1.234503304775528,0.4772550427226065,0.37395742512911473,1.0,1.0,1.0,3.6979436197620084,1.5953098794592717,50.0,5.371616240770117,2.0242709987539005,1.1663487601646425,50.0,4.7578125,1.7890625,2.2109375,3.717041015625,1.397705078125,1.727294921875
1773058435,2026-03-09T12:13:55Z,3.60791992321369,1.859857397988359,0.9917680631926129,1.0,1.0,1.0,12.2296017348933,6.4859019569014755,50.0,15.972211661534175,8.486991808252426,4.4848121055505255,50.0,6.99609375,1.94921875,2.234375,5.4656982421875,1.5228271484375,1.74560546875
1773058450,2026-03-09T12:14:10Z,6.084202266214125,2.935770072558698,1.634347010390431,1.0,1.0,1.0,20.50779140106797,10.507153760371446,50.0,27.345485311428426,13.670097490707514,7.344210030035376,50.0,6.33984375,1.77734375,2.25390625,4.9530029296875,1.3885498046875,1.7608642578125
1773058465,2026-03-09T12:14:25Z,8.542513820111811,2.9783133936464368,2.4098429712156837,1.0,1.0,1.0,26.956616023316588,12.762318124519597,50.0,38.7835650489927,15.129666997640479,10.394969251398715,50.0,6.0703125,1.77734375,2.2578125,4.742431640625,1.3885498046875,1.763916015625
1773058480,2026-03-09T12:14:40Z,10.738504054831685,4.415777543010263,2.8969604629545502,1.0,1.0,1.0,35.6234399570526,16.903578147434434,50.0,50.09273839834395,21.154141515761236,12.653014779107636,50.0,6.61328125,2.15625,2.296875,5.1666259765625,1.6845703125,1.79443359375
