time_iso,ts,k6_reqs,k6_fail_pct,k6_p50_ms,k6_p90_ms,k6_p95_ms,k6_p99_ms,k6_max_ms,k6_rps,CPU_Consumption_by_Service_Total_mcore__compose-post,CPU_Consumption_by_Service_Total_mcore__text-service,CPU_Consumption_by_Service_Total_mcore__user-mention-service,Replicas_per_Service__compose-post,Replicas_per_Service__text-service,Replicas_per_Service__user-mention-service,Combined_CPU_Utilization_Child__Parent__text-service__compose-post,Combined_CPU_Utilization_Child__Parent__user-mention__text-service,Combined_CPU_Utilization_Child__Parent__HPA_self-CPU_threshold_50,CPU_Utilization_per_Service__compose-post-service,CPU_Utilization_per_Service__text-service,CPU_Utilization_per_Service__user-mention-service,CPU_Utilization_per_Service__HPA_threshold_compose-post,Memory_Usage_per_Service_MB__compose-post,Memory_Usage_per_Service_MB__text-service,Memory_Usage_per_Service_MB__user-mention-service,Memory_Usage_Percentage_per_Service___compose-post,Memory_Usage_Percentage_per_Service___text-service,Memory_Usage_Percentage_per_Service___user-mention-service
2026-03-09T12:13:15Z,1773058395,15,0.0,1579.280285,1776.1197868,1868.3371217999997,2039.07017156,2081.753434,1.0,0.0510951660975865,0.0467404600443499,0.1333416368623227,1.0,1.0,1.0,0.0066819151580794,0.0061657871146439,50.0,0.0066765675277809,0.006687262788378,0.0056443114409098,50.0,0.9921875,0.98828125,1.640625,0.775146484375,0.7720947265625,1.28173828125
2026-03-09T12:13:30Z,1773058410,235,12.340425531914894,1898.60325,4999.57442,4999.937368,5000.64423482,5000.793443,15.666666666666666,0.0508018988790055,0.046816867148173,0.1334552550902282,1.0,1.0,1.0,0.0061211813931183,0.0057762648024948,50.0,0.0060414195901401,0.0062009431960965,0.0053515864088932,50.0,0.9921875,0.98828125,1.640625,0.775146484375,0.7720947265625,1.28173828125
2026-03-09T12:13:45Z,1773058425,234,2.1367521367521367,1999.831181,3996.6605211,4398.29061085,5000.20184149,5000.405083,15.6,1.234503304775528,0.4772550427226065,0.3739574251291147,1.0,1.0,1.0,3.697943619762008,1.5953098794592715,50.0,5.371616240770117,2.0242709987539005,1.1663487601646425,50.0,4.7578125,1.7890625,2.2109375,3.717041015625,1.397705078125,1.727294921875
2026-03-09T12:14:00Z,1773058440,231,2.5974025974025974,2099.253791,3702.133709,4396.5214525,5000.617719399999,5000.665821,15.4,3.60791992321369,1.859857397988359,0.9917680631926128,1.0,1.0,1.0,12.2296017348933,6.485901956901476,50.0,15.972211661534176,8.486991808252426,4.4848121055505255,50.0,6.99609375,1.94921875,2.234375,5.4656982421875,1.5228271484375,1.74560546875
2026-03-09T12:14:15Z,1773058455,241,2.0746887966804977,2195.355582,3501.586913,3898.742285,5000.8692132,5001.192772,16.066666666666666,6.084202266214125,2.935770072558698,1.634347010390431,1.0,1.0,1.0,20.50779140106797,10.507153760371446,50.0,27.345485311428423,13.670097490707514,7.344210030035376,50.0,6.33984375,1.77734375,2.25390625,4.9530029296875,1.3885498046875,1.7608642578125
2026-03-09T12:14:30Z,1773058470,241,1.2448132780082988,1999.008542,3497.132269,3897.92472,4959.157936999999,5001.191911,16.066666666666666,8.542513820111811,2.9783133936464368,2.409842971215684,1.0,1.0,1.0,26.956616023316588,12.762318124519595,50.0,38.7835650489927,15.12966699764048,10.394969251398717,50.0,6.0703125,1.77734375,2.2578125,4.742431640625,1.3885498046875,1.763916015625
2026-03-09T12:14:45Z,1773058485,443,1.1286681715575622,801.413134,2999.6187764,3497.0627342,4999.97528726,5000.888178,29.533333333333335,10.738504054831685,4.415777543010263,2.8969604629545502,1.0,1.0,1.0,35.6234399570526,16.903578147434434,50.0,50.09273839834395,21.15414151576124,12.653014779107636,50.0,6.61328125,2.15625,2.296875,5.1666259765625,1.6845703125,1.79443359375
2026-03-09T12:15:00Z,1773058500,600,0.33333333333333337,99.5585165,2602.496273,3095.4363995999997,3999.123840569999,5001.067419,40.0,13.501977578259044,5.752886852185472,3.735663405499064,2.0,1.0,1.0,29.493425286000303,22.05119722495551,50.0,30.980016801358257,26.520242255284412,17.5821521946266,50.0,9.71875,1.97265625,2.28515625,3.79638671875,1.5411376953125,1.7852783203125
2026-03-09T12:15:15Z,1773058515,583,0.34305317324185247,199.277563,2597.3215528,3001.0731689,3920.2830890399955,5001.205792,38.86666666666667,18.973011952012254,7.985444187065673,4.634112205123898,2.0,1.0,1.0,39.05489106355068,29.092100779336505,50.0,40.68413542127003,35.796402348111975,22.387799210561028,50.0,7.9453125,2.1484375,2.43359375,3.1036376953125,1.678466796875,1.9012451171875
2026-03-09T12:15:30Z,1773058530,577,0.17331022530329288,297.096125,2498.0474692,2896.9134654,4298.80362416,5001.124476,38.46666666666667,25.039262690317965,11.237193045102456,6.603142813658753,2.0,1.0,1.0,52.23110037948384,39.49052949509518,50.0,53.73463240099141,49.22403633646869,29.75702265372168,50.0,8.40234375,2.5390625,2.4453125,3.28216552734375,1.983642578125,1.910400390625
2026-03-09T12:15:45Z,1773058545,592,0.0,201.918125,2399.5837656,2995.1544023999995,3605.372323970003,4393.761172,39.46666666666667,31.469268815592795,14.685705802540316,8.542548444004378,2.0,1.0,1.0,60.097773219883656,46.87706049965352,50.0,60.5746299101947,59.144059839261566,34.61006116004549,50.0,8.65234375,2.7265625,2.43359375,3.37982177734375,2.130126953125,1.9012451171875
2026-03-09T12:16:00Z,1773058560,587,0.17035775127768313,200.447929,2600.2385234,3101.7063613,4398.432660099999,5001.305309,39.13333333333333,36.80922749522381,15.4894761374147,10.680565728256498,2.0,2.0,1.0,48.95751980528536,34.43271767066287,50.0,66.25841030259961,31.65662930797111,39.98489439604639,50.0,8.84765625,5.45703125,2.671875,3.45611572265625,2.13165283203125,2.08740234375
2026-03-09T12:16:15Z,1773058575,576,0.3472222222222222,298.612256,2498.9318780000003,3194.20491425,3998.12300175,5000.35655,38.4,41.80679662954316,20.461731130274053,12.604759882482352,2.0,2.0,1.0,56.184055378417696,41.987821715595416,50.0,72.00001489594432,40.36809586089108,45.227273425004064,50.0,8.2734375,3.80859375,2.56640625,3.2318115234375,1.48773193359375,2.0050048828125
2026-03-09T12:16:30Z,1773058590,585,0.0,298.788732,2598.3492018,3173.482522599996,4225.382625159994,4998.168735,39.0,47.110010549791625,23.54661104562053,14.4853428134695,2.0,2.0,1.0,59.87930991464071,44.20276971365658,50.0,77.9666140818793,41.7920057474021,49.02429764616552,50.0,9.08984375,3.7421875,2.5625,3.55072021484375,1.4617919921875,2.001953125
2026-03-09T12:16:45Z,1773058605,582,0.0,298.0136195,2301.2889022,2798.33194785,3998.1405265299995,4798.015512,38.8,52.271483927735545,26.25002279028428,16.068882558070165,2.0,2.0,1.0,64.64348461542106,48.55821127950713,50.0,83.49732892402115,45.78964030682098,54.09535322487943,50.0,9.33203125,4.0703125,2.57421875,3.64532470703125,1.5899658203125,2.0111083984375
2026-03-09T12:17:00Z,1773058620,815,0.1226993865030675,199.067069,2097.5037716,2602.0927498,3497.40967774,5000.700125,54.333333333333336,57.831454875346935,29.362961702538826,18.659938343950657,4.0,2.0,2.0,44.97451587568885,38.31146268958707,50.0,43.88964191755031,47.14426379196594,29.478661587208187,50.0,12.6953125,3.91796875,4.63671875,2.47955322265625,1.53045654296875,1.81121826171875
