[INFO] Loading HPA1 runs (40 iterations)...
[INFO] Loaded /home/dlamagna/projects/autoscaling-kubernetes/k6/grafana/2026-03-16/dual_test_30rps_hpa1_053502Z/unified_report.csv: 76 rows, 29 cols
[INFO] Loaded /home/dlamagna/projects/autoscaling-kubernetes/k6/grafana/2026-03-16/dual_test_30rps_hpa1_064207Z/unified_report.csv: 76 rows, 29 cols
[INFO] Loaded /home/dlamagna/projects/autoscaling-kubernetes/k6/grafana/2026-03-16/dual_test_30rps_hpa1_074906Z/unified_report.csv: 75 rows, 29 cols
[INFO] Loaded /home/dlamagna/projects/autoscaling-kubernetes/k6/grafana/2026-03-16/dual_test_30rps_hpa1_085626Z/unified_report.csv: 76 rows, 29 cols
[INFO] Loading HPA2 runs (40 iterations)...
[INFO] Loaded /home/dlamagna/projects/autoscaling-kubernetes/k6/grafana/2026-03-14/dual_test_30rps_hpa2_115549Z/unified_report.csv: 75 rows, 31 cols
[INFO] Loaded /home/dlamagna/projects/autoscaling-kubernetes/k6/grafana/2026-03-14/dual_test_30rps_hpa2_130243Z/unified_report.csv: 76 rows, 31 cols
[INFO] Loaded /home/dlamagna/projects/autoscaling-kubernetes/k6/grafana/2026-03-14/dual_test_30rps_hpa2_140952Z/unified_report.csv: 76 rows, 31 cols
[INFO] Loaded /home/dlamagna/projects/autoscaling-kubernetes/k6/grafana/2026-03-14/dual_test_30rps_hpa2_152330Z/unified_report.csv: 76 rows, 31 cols
[INFO] Loaded /home/dlamagna/projects/autoscaling-kubernetes/k6/grafana/2026-03-14/dual_test_30rps_hpa2_162943Z/unified_report.csv: 76 rows, 31 cols
[INFO] Loaded /home/dlamagna/projects/autoscaling-kubernetes/k6/grafana/2026-03-14/dual_test_30rps_hpa2_173604Z/unified_report.csv: 76 rows, 31 cols
[INFO] Loaded /home/dlamagna/projects/autoscaling-kubernetes/k6/grafana/2026-03-14/dual_test_30rps_hpa2_184301Z/unified_report.csv: 76 rows, 31 cols
[INFO] Loaded /home/dlamagna/projects/autoscaling-kubernetes/k6/grafana/2026-03-14/dual_test_30rps_hpa2_195033Z/unified_report.csv: 75 rows, 31 cols
[INFO] Loaded /home/dlamagna/projects/autoscaling-kubernetes/k6/grafana/2026-03-14/dual_test_30rps_hpa2_213625Z/unified_report.csv: 75 rows, 31 cols
[INFO] Loaded /home/dlamagna/projects/autoscaling-kubernetes/k6/grafana/2026-03-14/dual_test_30rps_hpa2_224333Z/unified_report.csv: 75 rows, 31 cols
[INFO] Loaded /home/dlamagna/projects/autoscaling-kubernetes/k6/grafana/2026-03-14/dual_test_30rps_hpa2_235214Z/unified_report.csv: 75 rows, 31 cols
[INFO] Loaded /home/dlamagna/projects/autoscaling-kubernetes/k6/grafana/2026-03-15/dual_test_30rps_hpa2_005901Z/unified_report.csv: 76 rows, 31 cols
[INFO] Loaded /home/dlamagna/projects/autoscaling-kubernetes/k6/grafana/2026-03-15/dual_test_30rps_hpa2_020634Z/unified_report.csv: 75 rows, 31 cols
[INFO] Loaded /home/dlamagna/projects/autoscaling-kubernetes/k6/grafana/2026-03-15/dual_test_30rps_hpa2_031321Z/unified_report.csv: 75 rows, 31 cols
[INFO] Loaded /home/dlamagna/projects/autoscaling-kubernetes/k6/grafana/2026-03-15/dual_test_30rps_hpa2_042000Z/unified_report.csv: 76 rows, 31 cols
[INFO] Loaded /home/dlamagna/projects/autoscaling-kubernetes/k6/grafana/2026-03-15/dual_test_30rps_hpa2_055250Z/unified_report.csv: 76 rows, 31 cols
[INFO] Loaded /home/dlamagna/projects/autoscaling-kubernetes/k6/grafana/2026-03-15/dual_test_30rps_hpa2_065907Z/unified_report.csv: 76 rows, 31 cols
[INFO] Loaded /home/dlamagna/projects/autoscaling-kubernetes/k6/grafana/2026-03-15/dual_test_30rps_hpa2_080554Z/unified_report.csv: 75 rows, 31 cols
[INFO] Loaded /home/dlamagna/projects/autoscaling-kubernetes/k6/grafana/2026-03-15/dual_test_30rps_hpa2_091309Z/unified_report.csv: 76 rows, 31 cols
[INFO] Loaded /home/dlamagna/projects/autoscaling-kubernetes/k6/grafana/2026-03-15/dual_test_30rps_hpa2_102008Z/unified_report.csv: 76 rows, 31 cols
[INFO] Loaded /home/dlamagna/projects/autoscaling-kubernetes/k6/grafana/2026-03-15/dual_test_30rps_hpa2_112725Z/unified_report.csv: 75 rows, 31 cols
[INFO] Loaded /home/dlamagna/projects/autoscaling-kubernetes/k6/grafana/2026-03-15/dual_test_30rps_hpa2_123444Z/unified_report.csv: 76 rows, 31 cols
[INFO] Loaded /home/dlamagna/projects/autoscaling-kubernetes/k6/grafana/2026-03-15/dual_test_30rps_hpa2_143458Z/unified_report.csv: 75 rows, 31 cols
[INFO] Loaded /home/dlamagna/projects/autoscaling-kubernetes/k6/grafana/2026-03-15/dual_test_30rps_hpa2_154120Z/unified_report.csv: 76 rows, 31 cols
[INFO] Loaded /home/dlamagna/projects/autoscaling-kubernetes/k6/grafana/2026-03-15/dual_test_30rps_hpa2_164753Z/unified_report.csv: 76 rows, 31 cols
[INFO] Loaded /home/dlamagna/projects/autoscaling-kubernetes/k6/grafana/2026-03-15/dual_test_30rps_hpa2_175410Z/unified_report.csv: 76 rows, 31 cols
