bucket,k6_reqs,k6_fail_pct,k6_p50_ms,k6_p90_ms,k6_p95_ms,k6_p99_ms,k6_max_ms,k6_rps,CPU_Consumption_by_Service_Total_mcore__compose-post,CPU_Consumption_by_Service_Total_mcore__text-service,CPU_Consumption_by_Service_Total_mcore__user-mention-service,Replicas_per_Service__compose-post,Replicas_per_Service__text-service,Replicas_per_Service__user-mention-service,Combined_CPU_Utilization_Child__Parent__text-service__compose-post,Combined_CPU_Utilization_Child__Parent__user-mention__text-service,Combined_CPU_Utilization_Child__Parent__HPA_parent_threshold_text-service,Combined_CPU_Utilization_Child__Parent__HPA_parent_threshold_user-mention,Combined_CPU_Utilization_Child__Parent__HPA_self-CPU_threshold_50,CPU_Utilization_per_Service__compose-post-service,CPU_Utilization_per_Service__text-service,CPU_Utilization_per_Service__user-mention-service,CPU_Utilization_per_Service__HPA_threshold_compose-post,Memory_Usage_per_Service_MB__compose-post,Memory_Usage_per_Service_MB__text-service,Memory_Usage_per_Service_MB__user-mention-service,Memory_Usage_Percentage_per_Service___compose-post,Memory_Usage_Percentage_per_Service___text-service,Memory_Usage_Percentage_per_Service___user-mention-service
10,35.333493589380176,23.60254221922651,2063.2794806208594,1060.2780435549423,772.4039195806711,414.6587540043352,2.3258146309534444,3.5333493589380156,1.678453142826601,0.807048383849094,0.6833871563374061,0.503831473655779,0.26674678283691855,0.0,6.445006945561979,2.7605251495249,0.0,0.0,0.0,12.541458077553589,4.449365314549528,2.8654003643280395,0.0,1.3443015834609708,0.7123014529507862,0.055573185136808576,1.2599086125864964,0.12323866379373373,0.04341655088813169
11,19.48594167796163,23.220882756977968,2085.2799668914236,1250.8263985317062,1085.4715869903514,629.5505562217866,41.026838117559286,1.9485941677961653,1.8856948955370445,0.7797361707844896,0.7288722804954695,0.42290206176626033,0.43852900965351455,0.0,6.8956020403967,4.941283930675943,0.0,0.0,0.0,11.708645863786376,7.998904785493921,3.4124745305232462,0.0,1.3472593210456574,1.0121885771705699,0.06660656298197373,0.927813406910055,0.22719137510210347,0.052036377329666955
12,23.826079225966883,19.68542453348455,1742.7692176504086,1276.051483700449,1145.609380959326,916.5660156316744,352.32043345986114,2.38260792259669,2.2387390163635197,1.2506606019619557,1.0571025562468361,0.42290206176626033,0.4743416490252569,0.0,6.946104179245556,6.959731645561177,0.0,0.0,0.0,12.479383472805983,11.061526230098378,4.103348853057027,0.0,1.2639834673418469,1.0501131660485041,0.09328555620442634,0.9781425475113008,0.4243963591212629,0.0728793407847081
13,18.12237602580061,15.460029202842843,1320.4750676326353,1161.6209158920492,1092.9915213987165,1030.4485612441292,639.2688990536743,1.812237602580061,2.8277493427481493,1.4653769076465966,1.1163932152331149,0.3038218101250999,0.4961389383568338,0.0,8.398392539062632,8.632178743009096,0.0,0.0,0.0,10.342845271633246,13.58717170769862,4.619990986392889,0.0,1.3032935081359678,0.8810436306131328,0.094529211592639,0.8305598487661845,0.3417497797194201,0.07385094655674923
14,16.167215163838385,9.679712699668562,887.2326163671122,1182.5977102553718,1149.8544658222022,1199.5713780854906,567.1911667725461,1.6167215163838398,2.9559401963236276,1.265339107650378,1.179637488684172,0.15811388300841897,0.505736325340815,0.0,8.497962760771651,8.259289532022432,0.0,0.0,0.0,7.118509810280891,13.419809853087235,4.764374316048782,0.0,1.6324420567235138,1.2743326518690838,0.14256419792798394,0.7374026613505617,0.38061301253212637,0.11137827963123735
15,18.18255010181818,5.255994118549555,534.161831172546,1061.6882038030228,1091.8424612984738,1173.021819364338,780.3930252357364,1.8182550101818176,3.1409457601536257,1.4957283643630281,1.3876931446222658,0.0,0.5006406152531232,0.0,8.810042765787001,8.356271803496421,0.0,0.0,0.0,5.952984298516888,13.720756211547718,5.04222159480349,0.0,1.7932308168519497,1.2336509078949685,0.11959004695753352,0.700480787832793,0.49521516113838554,0.0934297241855731
16,9.339707072768835,5.02126056059178,490.02798035266983,1183.6179203528116,1169.6118005242379,1261.2692866224427,1103.9703877108234,0.9339707072768845,3.148149163306515,1.7377359240198764,1.3903812186571396,0.0,0.40509574683346666,0.3038218101251,7.348034753526375,7.159377656382186,0.0,0.0,0.0,5.606975860932442,11.489328961842169,6.509908058779123,0.0,1.5570970255798722,0.9588550861167057,1.047443964933438,0.6082410256171378,0.4337449782685532,0.18186681708440505
17,9.775820511172778,4.800857243037425,560.9818031949795,1108.1529164100355,1112.7938525401562,1323.9190059460177,921.3689856804958,0.9775820511172789,3.025010198967684,1.938879944373206,1.646872553105314,0.0,0.0,0.47434164902525694,4.620623461041993,3.6441723304633267,0.0,0.0,0.0,5.342961611766395,4.080280732600533,8.434660398080814,0.0,1.7267057521162665,0.6606912386645193,1.182667500210091,0.6744944344204167,0.2580825151033279,0.5905065685629499
18,12.305512627503226,6.9142970068130865,676.2682780161833,1217.5813472246425,1240.7088928059848,1289.4905409671187,833.7462437591811,1.2305512627503217,3.096587398927638,1.934678763403527,1.688864395510139,0.0,0.0,0.5006406152531232,4.828793354923163,3.6009252333484185,0.0,0.0,0.0,5.672251223979282,4.209771468093053,8.622082047664355,0.0,1.7277363666548657,0.49651054127597016,1.201153508074347,0.674897018224557,0.19394943018592598,0.5102563243603215
19,13.907293788254435,7.114690130254883,748.2259007094473,1426.8022035068464,1423.0038678184176,1349.19742433019,951.7277958458906,1.3907293788254442,3.2499624357965957,2.0009480549830463,1.911684040230587,0.0,0.0,0.45220258677630265,5.411053775811306,2.9877310143946576,0.0,0.0,0.0,6.572173691358702,4.380313588091073,6.846101291569404,0.0,1.9845772720040877,0.3649129977041507,1.071990349645496,0.775225496876597,0.14254413972818386,0.11193186456662511
20,11.55710459702892,8.396522635539679,833.1083094413494,1526.8624523396684,1500.4982966393095,1551.532681479871,1027.346214132143,1.155710459702891,3.320207138621364,1.9840461356653893,1.8512196177634157,0.4634043479981494,0.0,0.3848076442547927,5.5365050342571225,2.8102834000302086,0.0,0.0,0.0,9.129562660070786,4.140901084458967,6.637764642539641,0.0,2.9792802028078778,0.36688496331474985,0.9123855835304662,0.6750799666950814,0.14331443879482414,0.1745117807491509
21,18.739783541425634,8.51475177148888,841.3022428144823,1496.1722475430224,1534.0152707152847,1537.6523013118983,1392.8745933835155,1.8739783541425636,3.4075386852244947,2.1042217263216814,1.9327480488707773,0.7298577311314225,0.0,0.33493206352854177,6.488739693764159,3.531183193482687,0.0,0.0,0.0,12.638275880904887,4.202783312599705,7.342752532183264,0.0,3.0880440450349833,0.375107852391624,0.6947549521573599,0.7470889195990696,0.14652650484047808,0.3619836041068648
22,14.06131262793459,7.877703620359784,722.9671117813529,1727.0652229553182,1691.8213682468304,1736.6816319884517,1870.5971558642748,1.4061312627934603,3.4361853336549593,1.9920189120682983,2.0293311764018687,0.8987170342729172,0.0,0.15811388300841897,7.522349362769841,2.6295484258920596,0.0,0.0,0.0,15.5793969672125,3.3640571598335285,2.70485218762814,0.0,3.583095661850172,0.3789924090021196,0.4092655736751787,0.9046060862453779,0.14804390976645299,0.08834430375480563
23,13.812642852260483,5.497429973522343,563.2896699063027,1492.930997848279,1625.0935323617512,1860.5066987694847,1950.305064233814,1.3812642852260477,3.441722332724167,2.0806866602409855,1.821957229028169,0.8161039400870707,0.0,0.15811388300841897,5.336588053823966,2.235989861966132,0.0,0.0,0.0,12.472954081073164,3.1458980179974154,3.016146527552085,0.0,3.915367419596301,0.380546965166839,0.3725765857338319,0.6639260226235734,0.14865115826829642,0.0696464283141532
24,8.063211805191806,4.828120792890602,517.3110397277587,1331.5749572731777,1582.4635214859227,1917.0182985775255,2179.516006549096,0.8063211805191818,3.764573963515085,2.0244219083306043,1.8473845085427838,0.8161039400870707,0.0,0.0,6.055689766206392,2.1366115186852497,0.0,0.0,0.0,13.226716887554067,2.7788179440405805,2.110352397136886,0.0,3.58668431988296,0.38511934080234284,0.1932927417725122,0.854179859114443,0.1504372425009151,0.0755049772548876
25,10.959570223652909,4.636142367511668,461.11810162345404,1227.9287025818971,1469.010962502782,1819.7866350423121,2218.8954513836875,1.095957022365291,3.7903057637840027,2.0777640442826506,1.978743087320787,0.6788942744621107,0.0,0.0,5.0240140255249015,2.003983599612544,0.0,0.0,0.0,10.494227421438403,2.6405998464062805,1.9422904853819911,0.0,3.0774343442413974,0.3781795332237506,0.16552591446583423,0.6531543055464623,0.1477263801655276,0.06465856033821642
