bucket,k6_reqs,k6_fail_pct,k6_p50_ms,k6_p90_ms,k6_p95_ms,k6_p99_ms,k6_max_ms,k6_rps,CPU_Consumption_by_Service_Total_mcore__compose-post,CPU_Consumption_by_Service_Total_mcore__text-service,CPU_Consumption_by_Service_Total_mcore__user-mention-service,Replicas_per_Service__compose-post,Replicas_per_Service__text-service,Replicas_per_Service__user-mention-service,Combined_CPU_Utilization_Child__Parent__text-service__compose-post,Combined_CPU_Utilization_Child__Parent__user-mention__text-service,Combined_CPU_Utilization_Child__Parent__HPA_parent_threshold_text-service,Combined_CPU_Utilization_Child__Parent__HPA_parent_threshold_user-mention,Combined_CPU_Utilization_Child__Parent__HPA_self-CPU_threshold_50,CPU_Utilization_per_Service__compose-post-service,CPU_Utilization_per_Service__text-service,CPU_Utilization_per_Service__user-mention-service,CPU_Utilization_per_Service__HPA_threshold_compose-post,Memory_Usage_per_Service_MB__compose-post,Memory_Usage_per_Service_MB__text-service,Memory_Usage_per_Service_MB__user-mention-service,Memory_Usage_Percentage_per_Service___compose-post,Memory_Usage_Percentage_per_Service___text-service,Memory_Usage_Percentage_per_Service___user-mention-service
39,300.4,0.0165016501650165,25.171219262499996,146.92706689750003,176.69600243624998,264.95828315799986,350.343199025,30.04,82.46928292256462,42.15239413439379,28.67790310109687,3.725,2.0,2.0,32.4995849789267,27.22588743783867,50.0,50.0,50.0,32.7992459456975,32.35812502337247,22.093649852304857,50.0,11.13056640625,3.9939453125,4.63359375,2.3317019144694013,1.5601348876953125,1.80999755859375
40,299.975,0.0,33.79206565,102.94696626749999,131.67428270249997,221.51899823274994,291.88236040000004,29.997500000000002,82.77038445142863,42.2519507407399,28.752102430074746,3.725,2.0,2.0,32.09753679138052,26.830267239265385,50.0,50.0,50.0,32.42723550953212,31.860724776256312,21.79980970227445,50.0,11.1333984375,4.00361328125,4.62490234375,2.3326492309570312,1.5639114379882812,1.8066024780273438
41,300.75,0.0,21.954341174999996,78.99068716250002,112.15884320375001,176.45193691524986,239.39542735,30.075,82.50334174745971,42.186748271459734,28.87011392876817,3.725,2.0,2.0,31.489211536923325,26.513696399085074,50.0,50.0,50.0,31.753927190449048,31.369011667685346,21.658381130484802,50.0,11.10703125,3.98564453125,4.6478515625,2.3278045654296875,1.5568923950195312,1.8155670166015625
42,300.1,0.0,22.2999142,58.657516075000004,69.62614165125001,114.41484015499991,165.437377925,30.01,82.03176203570465,42.08515356562734,28.828436842857958,3.725,2.0,2.0,31.323155959511144,26.44254920434731,50.0,50.0,50.0,31.520746224950507,31.301555269197557,21.58354313949706,50.0,11.08662109375,3.96748046875,4.6318359375,2.3240407307942705,1.5497970581054688,1.8093109130859375
43,300.425,0.0,8.6071713125,36.421204540000005,51.33048850999999,87.40764251499989,151.83651782500002,30.0425,81.37813811827213,41.88986465209216,28.701856196408727,3.725,2.0,2.0,30.98100345264887,26.18558102510169,50.0,50.0,50.0,31.140147298287417,31.046232255967006,21.32492979423638,50.0,11.01767578125,3.965625,4.61455078125,2.3104921976725263,1.549072265625,1.8025588989257812
44,299.975,0.0,8.6265222,11.616369980000002,18.059421915000005,46.521811537749926,86.25524387499999,29.997500000000002,80.44609765049474,41.58696224163826,28.619450795480542,3.725,2.0,2.0,30.788757565498493,26.029777756376625,50.0,50.0,50.0,30.932655403894977,30.887014778736727,21.172540734016522,50.0,11.015234375,3.98095703125,4.6171875,2.3096338907877607,1.5550613403320312,1.8035888671875
45,300.075,0.0,8.59709885,10.898549890000007,17.81895395875001,47.665697340499946,81.53673855,30.0075,79.8616905668625,41.25665938591177,28.368706297974448,3.725,2.0,2.0,30.57123754562461,25.886665730170147,50.0,50.0,50.0,30.8011830348545,30.479129150486536,21.294202309853766,50.0,10.97041015625,3.95712890625,4.6138671875,2.3012034098307295,1.5457534790039062,1.8022918701171875
46,299.925,0.0,8.556920925,10.900689517500002,17.65131100000001,44.41565385799994,85.02703165,29.9925,78.87771733950214,40.887612828445455,28.2693786641991,3.725,2.0,2.0,30.496313766176627,25.69047813874956,50.0,50.0,50.0,30.744064054144523,30.408502589746394,20.972453687752733,50.0,10.99541015625,3.9681640625,4.62841796875,2.3078282674153643,1.5500640869140625,1.8079757690429688
47,300.025,0.0,8.5625666625,10.42939746,17.691924762500005,42.40466383724997,73.57392469999999,30.002499999999998,77.71227203313859,40.6939871803315,28.01644602470185,3.725,2.0,2.0,30.524458913833264,25.94081030422738,50.0,50.0,50.0,30.62241865280609,30.705835689684527,21.175784918770237,50.0,10.95703125,3.98935546875,4.62109375,2.299276987711589,1.5583419799804688,1.80511474609375
48,300.0,0.0,8.558799975,10.3670572975,15.452041252500015,39.57614197899998,72.71835855,30.0,76.8479008202851,40.31484183516985,27.708621741388676,3.725,2.0,2.0,30.300982243710614,25.787580669804385,50.0,50.0,50.0,30.42763684240449,30.405638587737464,21.169522751871305,50.0,10.970703125,4.00048828125,4.6201171875,2.3016802469889326,1.5626907348632812,1.8047332763671875
49,300.0,0.0,8.587397425,10.870789057500005,17.792098447500006,43.825850923249924,73.5017741,30.0,75.72478668479252,40.05427042426702,27.654708011413913,3.725,2.0,2.0,30.256059210984496,25.80738969037721,50.0,50.0,50.0,30.346807319760234,30.442443736085103,21.172335644669317,50.0,10.98974609375,3.97978515625,4.616015625,2.3064422607421875,1.5546035766601562,1.803131103515625
