time_iso,ts,k6_reqs,k6_fail_pct,k6_p50_ms,k6_p90_ms,k6_p95_ms,k6_p99_ms,k6_max_ms,k6_rps,CPU_Consumption_by_Service_Total_mcore__compose-post,CPU_Consumption_by_Service_Total_mcore__text-service,CPU_Consumption_by_Service_Total_mcore__user-mention-service,Replicas_per_Service__compose-post,Replicas_per_Service__text-service,Replicas_per_Service__user-mention-service,Combined_CPU_Utilization_Child__Parent__text-service__compose-post,Combined_CPU_Utilization_Child__Parent__user-mention__text-service,Combined_CPU_Utilization_Child__Parent__HPA_parent_threshold_text-service,Combined_CPU_Utilization_Child__Parent__HPA_parent_threshold_user-mention,Combined_CPU_Utilization_Child__Parent__HPA_self-CPU_threshold_50,CPU_Utilization_per_Service__compose-post-service,CPU_Utilization_per_Service__text-service,CPU_Utilization_per_Service__user-mention-service,CPU_Utilization_per_Service__HPA_threshold_compose-post,Memory_Usage_per_Service_MB__compose-post,Memory_Usage_per_Service_MB__text-service,Memory_Usage_per_Service_MB__user-mention-service,Memory_Usage_Percentage_per_Service___compose-post,Memory_Usage_Percentage_per_Service___text-service,Memory_Usage_Percentage_per_Service___user-mention-service
2026-03-09T11:45:15Z,1773056715,7,0.0,557.451424,1031.762927,1087.8131689999998,1132.6533625999998,1143.863411,0.4666666666666667,0.1082471881935932,0.0657339821400266,0.1249339889009525,1.0,1.0,1.0,0.0063366260602202,0.0061818964899067,25.0,25.0,50.0,0.0067504363674938,0.0059228157529467,0.0064409772268667,50.0,0.98828125,0.984375,1.6328125,0.7720947265625,0.76904296875,1.275634765625
2026-03-09T11:45:30Z,1773056730,224,14.732142857142858,1848.0897255,4999.8315592,5000.091200299999,5000.55765021,5001.413439,14.933333333333334,0.0435944838592165,0.0462161054382063,0.0379126054274164,1.0,1.0,1.0,0.0067500626389129,0.0066580007102848,25.0,25.0,50.0,0.0068990878234355,0.0066010374543903,0.0067149639661794,50.0,0.98828125,0.984375,1.6328125,0.7720947265625,0.76904296875,1.275634765625
2026-03-09T11:45:45Z,1773056745,222,5.405405405405405,2198.7762245,3891.858536700001,4990.116820149998,5000.5437991399995,5000.766658,14.8,2.036021709675196,0.1979907161444663,0.0382935315300527,1.0,1.0,1.0,4.43462575741193,0.3602506806915829,25.0,25.0,50.0,8.154946853150777,0.7143046616730828,0.0061966997100829,50.0,5.9921875,1.69921875,1.6328125,4.681396484375,1.3275146484375,1.275634765625
2026-03-09T11:46:00Z,1773056760,244,0.4098360655737705,2099.2020175,3502.2378568999998,4094.3964628000003,4556.633826179999,5000.308159,16.266666666666666,2.072243792968333,1.471458104275858,0.8408594030924129,1.0,1.0,1.0,8.099127477882547,5.282624749015311,25.0,25.0,50.0,9.742226380672594,6.456028575092502,4.109220922938121,50.0,5.9921875,1.69140625,2.234375,4.681396484375,1.3214111328125,1.74560546875
2026-03-09T11:46:15Z,1773056775,543,0.7366482504604052,95.370563,2799.5549588,3396.6016061000005,4767.167291940012,5000.734242,36.2,6.998429146131206,2.8081292647208587,1.9381326695953391,1.0,1.0,1.0,20.91634375094526,10.682508848211574,25.0,25.0,50.0,29.72849526820417,12.104192233686348,9.2608254627368,50.0,7.05859375,1.91796875,2.265625,5.5145263671875,1.4984130859375,1.77001953125
2026-03-09T11:46:30Z,1773056790,599,0.1669449081803005,190.261252,2599.7636954,3098.3005309,4297.884578759999,5000.570582,39.93333333333333,9.647196327090509,4.480394883681002,3.857270356824107,1.0,1.0,1.0,29.98941333818123,17.725466029591697,25.0,25.0,50.0,41.24345903564183,18.735367640720625,16.715564418462773,50.0,9.3515625,4.55859375,2.31640625,7.305908203125,3.5614013671875,1.8096923828125
2026-03-09T11:46:45Z,1773056805,577,0.0,196.698542,2697.3950956,3217.754531199993,4122.477825680001,4799.725021,38.46666666666667,16.45407443989911,6.564373447278465,4.04649600140997,2.0,2.0,1.0,24.99621498400607,15.699339246897631,25.0,25.0,50.0,35.221914632842946,14.770515335169195,17.556987070354506,50.0,8.53515625,3.3203125,2.31640625,3.33404541015625,1.2969970703125,1.8096923828125
2026-03-09T11:47:00Z,1773056820,583,0.34305317324185247,293.521596,2497.968688,2985.5270661999975,4096.73691876,5000.845602,38.86666666666667,21.589854082512375,11.148401345319163,6.913134198821103,2.0,2.0,1.0,35.26906789407992,26.07846181019211,25.0,25.0,50.0,46.615273154133696,23.92286263402614,30.38966016252405,50.0,9.2734375,3.53125,2.453125,3.6224365234375,1.37939453125,1.91650390625
2026-03-09T11:47:15Z,1773056835,573,0.0,301.452353,2299.1014318,2798.9396871999998,3600.7693244399998,4501.071593,38.2,25.81215089885469,13.63447783034861,9.660210673008898,2.0,2.0,1.0,41.71731349910515,33.186295003097,25.0,25.0,50.0,54.828522637071885,28.606104361138424,42.34667628701416,50.0,8.86328125,3.66015625,2.54296875,3.46221923828125,1.42974853515625,1.9866943359375
2026-03-09T11:47:30Z,1773056850,565,0.17699115044247787,301.394629,2400.4239761999997,2906.0811335999997,3833.9276231200015,5000.715179,37.666666666666664,32.41863375370906,16.427275231248846,11.844961131584578,2.0,2.0,1.0,51.81794185095613,40.11620439513907,25.0,25.0,50.0,69.25520341459503,34.38068028731722,51.587252610782784,50.0,8.72265625,6.1875,4.88671875,3.40728759765625,2.4169921875,3.8177490234375
