ts,time_iso,CPU_Consumption_by_Service_Total_mcore__compose-post,CPU_Consumption_by_Service_Total_mcore__text-service,CPU_Consumption_by_Service_Total_mcore__user-mention-service,Replicas_per_Service__compose-post,Replicas_per_Service__text-service,Replicas_per_Service__user-mention-service,Combined_CPU_Utilization_Child__Parent__text-service__compose-post,Combined_CPU_Utilization_Child__Parent__user-mention__text-service,Combined_CPU_Utilization_Child__Parent__HPA_parent_threshold_text-service,Combined_CPU_Utilization_Child__Parent__HPA_parent_threshold_user-mention,Combined_CPU_Utilization_Child__Parent__HPA_self-CPU_threshold_50,CPU_Utilization_per_Service__compose-post-service,CPU_Utilization_per_Service__text-service,CPU_Utilization_per_Service__user-mention-service,CPU_Utilization_per_Service__HPA_threshold_compose-post,Memory_Usage_per_Service_MB__compose-post,Memory_Usage_per_Service_MB__text-service,Memory_Usage_per_Service_MB__user-mention-service,Memory_Usage_Percentage_per_Service___compose-post,Memory_Usage_Percentage_per_Service___text-service,Memory_Usage_Percentage_per_Service___user-mention-service
1773056666,2026-03-09T11:44:26Z,0.1114899036399422,0.06647093501262286,0.12735753751214673,1.0,1.0,1.0,0.006934306000497974,0.007009757939701405,25.0,25.0,50.0,0.006498914524464358,0.00736969747653159,0.006649818402871221,50.0,0.98828125,0.984375,1.6328125,0.7720947265625,0.76904296875,1.275634765625
1773056681,2026-03-09T11:44:41Z,0.11059440765983453,0.06445727604200853,0.12771128077112132,1.0,1.0,1.0,0.006397081643978595,0.006193317809710659,25.0,25.0,50.0,0.006884827601958717,0.005909335685998473,0.0064772999334228466,50.0,0.98828125,0.984375,1.6328125,0.7720947265625,0.76904296875,1.275634765625
1773056696,2026-03-09T11:44:56Z,0.11067155109097922,0.06403121610142609,0.1279030815905102,1.0,1.0,1.0,0.006726340110031992,0.006671463259964187,25.0,25.0,50.0,0.006799768518518627,0.00665291170154536,0.006690014818383014,50.0,0.98828125,0.984375,1.6328125,0.7720947265625,0.76904296875,1.275634765625
1773056711,2026-03-09T11:45:11Z,0.10824718819359323,0.06573398214002665,0.12493398890095256,1.0,1.0,1.0,0.006336626060220273,0.006181896489906727,25.0,25.0,50.0,0.006750436367493815,0.00592281575294673,0.006440977226866723,50.0,0.98828125,0.984375,1.6328125,0.7720947265625,0.76904296875,1.275634765625
1773056726,2026-03-09T11:45:26Z,0.04359448385921651,0.04621610543820632,0.037912605427416486,1.0,1.0,1.0,0.006750062638912942,0.006658000710284887,25.0,25.0,50.0,0.006899087823435547,0.006601037454390339,0.006714963966179433,50.0,0.98828125,0.984375,1.6328125,0.7720947265625,0.76904296875,1.275634765625
1773056741,2026-03-09T11:45:41Z,2.0360217096751954,0.1979907161444663,0.03829353153005276,1.0,1.0,1.0,4.43462575741193,0.36025068069158295,25.0,25.0,50.0,8.154946853150777,0.7143046616730828,0.0061966997100829785,50.0,5.9921875,1.69921875,1.6328125,4.681396484375,1.3275146484375,1.275634765625
1773056756,2026-03-09T11:45:56Z,2.072243792968333,1.471458104275858,0.8408594030924129,1.0,1.0,1.0,8.099127477882547,5.282624749015311,25.0,25.0,50.0,9.742226380672594,6.456028575092502,4.109220922938121,50.0,5.9921875,1.69140625,2.234375,4.681396484375,1.3214111328125,1.74560546875
1773056771,2026-03-09T11:46:11Z,6.998429146131206,2.8081292647208587,1.9381326695953391,1.0,1.0,1.0,20.91634375094526,10.682508848211574,25.0,25.0,50.0,29.728495268204174,12.104192233686348,9.260825462736799,50.0,7.05859375,1.91796875,2.265625,5.5145263671875,1.4984130859375,1.77001953125
1773056786,2026-03-09T11:46:26Z,9.647196327090509,4.480394883681002,3.857270356824107,1.0,1.0,1.0,29.98941333818123,17.725466029591697,25.0,25.0,50.0,41.24345903564183,18.735367640720625,16.715564418462773,50.0,9.3515625,4.55859375,2.31640625,7.305908203125,3.5614013671875,1.8096923828125
1773056801,2026-03-09T11:46:41Z,16.45407443989911,6.564373447278465,4.04649600140997,2.0,2.0,1.0,24.99621498400607,15.699339246897633,25.0,25.0,50.0,35.221914632842946,14.770515335169195,17.556987070354506,50.0,8.53515625,3.3203125,2.31640625,3.33404541015625,1.2969970703125,1.8096923828125
